fecha,cliente,servicio,total,pago,peluquera,propina
2026-08-23 17:45,ClientePrueba,corte+lavado,20,Efectivo,Ana,0
2026-08-23 16:20:41,Pepa,tinte+extra:5+extra:5+extra:5,40,Efectivo,Lucía,0
2026-08-23 17:14:51,ClientePrueba,corte+tinte+lavado+corte+corte+tinte+lavado+tinte,130,Tarjeta,Vane,0
2026-08-23 17:14:57,ClientePrueba,,0,Tarjeta,Vane,0
2026-08-23 17:16:56,ClientePrueba,lavado+tinte,30,Tarjeta,Vane,0
2026-08-23 17:24:30,pepi,tinte,25,Efectivo,Vane,0
2026-08-23 17:26:37,ClientePrueba,tinte,25,Efectivo,Vane,0
2026-08-23 17:30:11,Pepa,corte+corte+corte+tinte,70,Efectivo,Vane,0
2026-08-23 18:47:08,Alicia,tinte+lavado+extra:3+extra:3,36,Tarjeta,Vane,1
2026-08-24 08:12:09,pepi,tinte,25,Efectivo,Vane,0
2026-08-30 19:23:39,Lucia,corte+lavado+extra:4+extra:4,28,Efectivo,Vane,0
2026-08-30 19:23:40,Lucia,extra:4,4,Efectivo,Vane,0
2026-08-30 19:23:42,Lucia,extra:4,4,Efectivo,Vane,0
2026-08-30 19:23:44,Lucia,extra:4,4,Efectivo,Vane,0
2026-09-02 12:09:48,Lucia,corte+lavado+tinte+extra:4,49,Efectivo,Vane,0
